,SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,RA_SN,Dec_SN,filenameshort,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,ISOAREA_IMAGE,X_IMAGE,Y_IMAGE,CXX,CXY,CYY,OFFSET,RE,d_DLR,F_HOST_4,a_pixels,b_pixels,theta_deg,alpha_deg,PA_deg,theta_rad,pixscale,a_arcsec,b_arcsec
0,1998bu,/astro/armin/bhoomika/pantheon_data_folder/1998bu/mastDownload/JWST/jw03707-o126_t023_nircam_clear-f187n/jw03707-o126_t023_nircam_clear-f187n_i2d.fits,jw03707-o126_t023_nircam_clear-f187n_i2d,2025-05-30T10:56:06.069,JWST,NIRCAM,F187N,3.520635350020453e-06,7.780100941487638e-06,7.780100941487638e-06,-3.520635350020453e-06,,,jw03707-o126_t023_nircam_clear-f187n_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1998bu,/astro/armin/bhoomika/pantheon_data_folder/1998bu/mastDownload/JWST/jw03707-o125_t023_miri_f2100w/jw03707-o125_t023_miri_f2100w_i2d.fits,jw03707-o125_t023_miri_f2100w_i2d,2025-05-30T10:50:24.076,JWST,MIRI,F2100W,1.485962471519546e-05,2.6986744637944257e-05,2.6986744637944257e-05,-1.485962471519546e-05,,,jw03707-o125_t023_miri_f2100w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1998bu,/astro/armin/bhoomika/pantheon_data_folder/1998bu/mastDownload/JWST/jw03707-c1108_t023_miri_f2100w/jw03707-c1108_t023_miri_f2100w_i2d.fits,jw03707-c1108_t023_miri_f2100w_i2d,2025-05-08T03:54:17.065,JWST,MIRI,F2100W,1.4859624715010216e-05,2.6986744637607887e-05,2.6986744637607887e-05,-1.4859624715010216e-05,,,jw03707-c1108_t023_miri_f2100w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1998bu,/astro/armin/bhoomika/pantheon_data_folder/1998bu/mastDownload/JWST/jw03707-o126_t023_nircam_clear-f335m/jw03707-o126_t023_nircam_clear-f335m_i2d.fits,jw03707-o126_t023_nircam_clear-f335m_i2d,2025-05-30T07:49:17.227,JWST,NIRCAM,F335M,7.1239886880424e-06,1.5983142849766778e-05,1.5983142849766778e-05,-7.1239886880424e-06,,,jw03707-o126_t023_nircam_clear-f335m_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1998bu,/astro/armin/bhoomika/pantheon_data_folder/1998bu/mastDownload/JWST/jw03707-o126_t023_nircam_clear-f300m/jw03707-o126_t023_nircam_clear-f300m_i2d.fits,jw03707-o126_t023_nircam_clear-f300m_i2d,2025-05-30T10:50:58.732,JWST,NIRCAM,F300M,7.12378252480514e-06,1.59827667403659e-05,1.59827667403659e-05,-7.12378252480514e-06,,,jw03707-o126_t023_nircam_clear-f300m_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1998bu,/astro/armin/bhoomika/pantheon_data_folder/1998bu/mastDownload/JWST/jw03707-o125_t023_miri_f770w/jw03707-o125_t023_miri_f770w_i2d.fits,jw03707-o125_t023_miri_f770w_i2d,2025-05-30T10:50:36.466,JWST,MIRI,F770W,1.4859456552806822e-05,2.6986837416800886e-05,2.6986837416800886e-05,-1.4859456552806822e-05,,,jw03707-o125_t023_miri_f770w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1998bu,/astro/armin/bhoomika/pantheon_data_folder/1998bu/mastDownload/JWST/jw03707-c1108_t023_miri_f770w/jw03707-c1108_t023_miri_f770w_i2d.fits,jw03707-c1108_t023_miri_f770w_i2d,2025-05-08T03:54:21.055,JWST,MIRI,F770W,1.4859456555902868e-05,2.698683742242376e-05,2.698683742242376e-05,-1.4859456555902868e-05,,,jw03707-c1108_t023_miri_f770w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1998bu,/astro/armin/bhoomika/pantheon_data_folder/1998bu/mastDownload/JWST/jw03707-o126_t023_nircam_clear-f150w/jw03707-o126_t023_nircam_clear-f150w_i2d.fits,jw03707-o126_t023_nircam_clear-f150w_i2d,2025-05-30T10:54:47.688,JWST,NIRCAM,F150W,3.5207220005751466e-06,7.780334080958349e-06,7.780334080958349e-06,-3.5207220005751466e-06,,,jw03707-o126_t023_nircam_clear-f150w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch4-medium/jw06138-c1010_t005_miri_ch4-medium_s3d.fits,jw06138-c1010_t005_miri_ch4-medium_s3d,2025-06-14T02:48:15.861,JWST,MIRI,,-9.72222205665376e-05,0.0,0.0,9.72222205665376e-05,,,jw06138-c1010_t005_miri_ch4-medium_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch2-long/jw06138-c1010_t005_miri_ch2-long_s3d.fits,jw06138-c1010_t005_miri_ch2-long_s3d,2025-06-14T02:48:13.832,JWST,MIRI,,-4.72222227189275e-05,0.0,0.0,4.72222227189275e-05,,,jw06138-c1010_t005_miri_ch2-long_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch2-medium/jw06138-o005_t005_miri_ch2-medium_s3d.fits,jw06138-o005_t005_miri_ch2-medium_s3d,2025-03-21T21:16:07.253,JWST,MIRI,,-4.72222227189275e-05,0.0,0.0,4.72222227189275e-05,,,jw06138-o005_t005_miri_ch2-medium_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch1-short/jw06138-o005_t005_miri_ch1-short_s3d.fits,jw06138-o005_t005_miri_ch1-short_s3d,2025-03-21T21:16:05.622,JWST,MIRI,,-3.61111097865634e-05,0.0,0.0,3.61111097865634e-05,,,jw06138-o005_t005_miri_ch1-short_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch1-medium/jw06138-o005_t005_miri_ch1-medium_s3d.fits,jw06138-o005_t005_miri_ch1-medium_s3d,2025-03-21T21:16:06.024,JWST,MIRI,,-3.61111097865634e-05,0.0,0.0,3.61111097865634e-05,,,jw06138-o005_t005_miri_ch1-medium_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch2-short/jw06138-c1010_t005_miri_ch2-short_s3d.fits,jw06138-c1010_t005_miri_ch2-short_s3d,2025-06-14T02:48:13.011,JWST,MIRI,,-4.72222227189275e-05,0.0,0.0,4.72222227189275e-05,,,jw06138-c1010_t005_miri_ch2-short_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw02107-c1007_t007_miri_f2100w/jw02107-c1007_t007_miri_f2100w_i2d.fits,jw02107-c1007_t007_miri_f2100w_i2d,2025-03-25T22:57:22.636,JWST,MIRI,F2100W,-3.0799897742185605e-05,-7.746317632336198e-07,-7.746317632336198e-07,3.0799897742185605e-05,,,jw02107-c1007_t007_miri_f2100w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw02107-o025_t007_nircam_clear-f360m/jw02107-o025_t007_nircam_clear-f360m_i2d.fits,jw02107-o025_t007_nircam_clear-f360m_i2d,2025-05-29T18:48:22.164,JWST,NIRCAM,F360M,-1.7405047656346775e-05,-1.8295408616777664e-06,-1.8295408616777664e-06,1.7405047656346775e-05,,,jw02107-o025_t007_nircam_clear-f360m_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
